ID,SchoolName,District,Level
67126,newcomb middle,central consolidated,ms
67130,newcomb high,central consolidated,hs
67152,nizhoni elementary,central consolidated,es
67160,tse bit ai middle,central consolidated,ms
68003,wlv family partnership,west las vegas,unknown level
68004,rio gallinas school,west las vegas,unknown level
68012,luis e. armijo elementary,west las vegas,es
68050,valley elementary,west las vegas,es
68068,valley middle,west las vegas,ms
68112,don cecilio martinez elementary,west las vegas,es
68125,tony serna jr. elementary,west las vegas,es
68157,union elementary,west las vegas,es
68172,west las vegas middle school,west las vegas,ms
68173,west las vegas high school,west las vegas,hs
69031,memorial middle,las vegas city,ms
69037,los ninos elementary,las vegas city,es
69054,sierra vista elementary,las vegas city,es
69136,robertson high,las vegas city,hs
69150,mike sena elementary,las vegas city,es
70124,pecos high,pecos,hs
70150,pecos middle,pecos,ms
70173,pecos elementary,pecos,es
71005,cesar chavez elementary,santa fe,es
71008,acequia madre elementary,santa fe,es
71011,el camino real academy community,santa fe,unknown level
71012,desert sage academy,santa fe,unknown level
71020,capital high,santa fe,hs
71022,carlos gilbert elementary,santa fe,es
71023,ramirez thomas elementary,santa fe,es
71024,academy for technology & classics,santa fe,unknown level
71033,atalaya elementary,santa fe,es
71054,aspen community school,santa fe,unknown level
71057,gonzales elementary,santa fe,es
71070,kearny elementary,santa fe,es
71099,e.j. martinez elementary,santa fe,es
71100,pinon elementary,santa fe,es
71110,edward ortiz middle,santa fe,ms
71130,r.m. sweeney elementary,santa fe,es
71135,el dorado community school,santa fe,unknown level
71141,amy biehl community school at rancho viejo,santa fe,unknown level
71143,salazar elementary,santa fe,es
71145,francis x. nava elementary,santa fe,es
71146,chaparral elementary,santa fe,es
71160,tesuque elementary,santa fe,es
71165,santa fe high,santa fe,hs
71166,early college opportunities,santa fe,unknown level
71170,nina otero community school,santa fe,unknown level
71173,mandela international magnet (mims),santa fe,unknown level
71176,wood-gormley elementary,santa fe,es
71189,milagro middle,santa fe,ms
72123,pablo roybal elementary,pojoaque,es
72124,pojoaque high,pojoaque,hs
72125,pojoaque middle,pojoaque,ms
72128,pojoaque intermediate,pojoaque,unknown level
72132,sixth grade academy,pojoaque,unknown level
73016,arrey elementary,truth or cons.,es
73058,hot springs high,truth or cons.,hs
73060,sierra elementary,truth or cons.,es
73063,t or c middle,truth or cons.,ms
73162,t or c elementary,truth or cons.,es
74001,parkview elementary,socorro,es
74003,cottonwood valley charter,socorro,unknown level
74079,midway elementary,socorro,es
74144,san antonio elementary,socorro,es
74155,r. sarracino middle,socorro,ms
74160,socorro high,socorro,hs
75095,magdalena high,magdalena,hs
75100,magdalena middle,magdalena,ms
75133,magdalena elementary,magdalena,es
76004,arroyo del norte elementary,taos,es
76005,taos municipal charter,taos,unknown level
76006,anansi charter school,taos,unknown level
76011,taos cyber magnet,taos,unknown level
76133,ranchos de taos elementary,taos,es
76164,taos middle,taos,ms
76165,taos high,taos,hs
76175,enos garcia elementary,taos,es
77121,penasco elementary,penasco,es
77123,penasco high,penasco,hs
77128,penasco middle,penasco,ms
78047,el rito elementary,mesa vista,es
78118,ojo caliente elementary,mesa vista,es
78119,mesa vista high,mesa vista,hs
78125,mesa vista middle,mesa vista,ms
79001,alta vista elementary,questa,es
79003,alta vista intermediate,questa,unknown level
79129,questa high,questa,hs
79130,questa jr high,questa,hs
80001,upper elementary,estancia,es
80050,estancia high,estancia,hs
80169,lower elementary,estancia,es
80172,estancia middle,estancia,ms
81001,route 66 elementary,moriarty-edgewood,es
81003,edgewood middle,moriarty-edgewood,ms
81100,moriarty elementary,moriarty-edgewood,es
81101,moriarty high,moriarty-edgewood,hs
81102,moriarty middle,moriarty-edgewood,ms
81120,south mountain elementary,moriarty-edgewood,es
82105,mountainair elementary,mountainair,es
82106,mountainair jr high,mountainair,hs
82107,mountainair high,mountainair,hs
83001,eagle ridge middle,rio rancho,ms
83006,rio rancho high,rio rancho,hs
83011,cleveland high school,rio rancho,hs
83012,maggie cordova elementary school,rio rancho,es
83013,independence high school,rio rancho,hs
83015,vista grande elementary,rio rancho,es
83016,rio rancho middle school,rio rancho,ms
83018,rio rancho cyber academy,rio rancho,unknown level
83020,sandia vista elementary,rio rancho,es
83021,cielo azul elementary,rio rancho,es
83025,joe harris elementary,rio rancho,es
83050,colinas del norte elementary,rio rancho,es
83100,enchanted hills elementary,rio rancho,es
83105,mountain view middle,rio rancho,ms
83319,puesta del sol elementary,rio rancho,es
83340,rio rancho elementary,rio rancho,es
83372,ernest stapleton elementary,rio rancho,es
83375,martin king jr elementary,rio rancho,es
83481,lincoln middle,rio rancho,ms
84037,alvis elementary,clayton,es
84038,clayton junior high,clayton,hs
84039,clayton high,clayton,hs
84045,kiser elementary,clayton,es
85044,des moines elementary,des moines,es
85045,des moines high,des moines,hs
86002,valencia elementary,los lunas,es
86003,desert view elementary,los lunas,es
86009,century alt high,los lunas,hs
86017,valencia high,los lunas,hs
86018,los lunas family school,los lunas,unknown level
86025,valencia middle school,los lunas,ms
86028,bosque farms elementary,los lunas,es
86080,katherine gallegos elementary,los lunas,es
86082,los lunas elementary,los lunas,es
86083,raymond gabaldon elementary,los lunas,es
86084,los lunas middle,los lunas,ms
86085,los lunas high,los lunas,hs
86122,peralta elementary,los lunas,es
86150,ann parish elementary,los lunas,es
86160,sundance elementary,los lunas,es
86180,tome elementary,los lunas,es
87001,belen infinity high,belen,hs
87003,la promesa elementary,belen,es
87006,belen family school,belen,unknown level
87025,belen middle,belen,ms
87026,belen high,belen,hs
87034,central elementary,belen,es
87038,la merced elementary,belen,es
87045,rio grande elementary,belen,es
87066,gil sanchez elementary,belen,es
87080,dennis chavez elementary,belen,es
88038,cubero elementary,grants,es
88055,grants high,grants,hs
88056,los alamitos middle,grants,ms
88057,laguna-acoma high,grants,hs
88058,laguna-acoma middle,grants,ms
88060,gccs early college high school,grants,hs
88099,mesa view elementary,grants,es
88104,milan elementary,grants,es
88106,mount taylor elementary,grants,es
88152,san rafael elementary,grants,es
88155,seboyeta elementary,grants,es
88915,bluewater elementary,grants,es
89166,shiwi ts'ana elementary,zuni,es
89190,zuni high,zuni,hs
89192,twin buttes cyber academy,zuni,unknown level
89195,zuni middle,zuni,ms
501001,new mexico academy for the media arts,new mexico academy for the media arts charter,unknown level
502001,cottonwood classical prep,cottonwood classical prep,unknown level
503022,horizon academy west,horizon academy west,unknown level
504001,north valley academy,north valley academy charter,unknown level
505001,school of dreams academy,school of dreams academy,unknown level
509001,nm school for the arts,nm school for arts,unknown level
510001,taos academy,taos academy,unknown level
511001,alma d'arte charter,alma d'arte charter,unknown level
512001,cesar chavez community  school,cesar chavez community school,unknown level
515001,south valley prep,south valley prep,unknown level
516001,abq school of excellence,abq school of excellence,unknown level
517001,abq sign language academy,abq sign language academy,unknown level
518001,tierra adentro,tierra adentro,unknown level
519001,the masters program,the masters program,unknown level
520001,the ask academy,the ask academy,unknown level
521001,taos integrated school of arts,taos integrated school of the arts,unknown level
524001,albuquerque institute of math & science,albuquerque institute of math & science,unknown level
525001,amy biehl charter high school,amy biehl charter high school,hs
528001,albuquerque bilingual academy,albuquerque bilingual academy,unknown level
529001,montessori elementary school,montessori elementary school,es
530001,southwest preparatory learning center,southwest preparatory learning center,unknown level
531001,southwest secondary learning center,southwest secondary learning center,unknown level
532001,aldo leopold charter,aldo leopold charter,unknown level
535001,j paul taylor academy,j paul taylor academy,unknown level
536001,the great academy,the great academy,unknown level
539001,red river valley charter school,red river valley charter school,unknown level
542001,mission achievement and success 1.0,mission achievement and success,unknown level
542002,mission achievement and success 2.0,mission achievement and success,unknown level
544001,sw aeronautics mathematics and science academy,sw aeronautics mathematics and science,unknown level
547001,mccurdy charter school,mccurdy charter school,unknown level
549001,new america school - las cruces,new america school - las cruces,unknown level
550001,estancia valley classical academy,estancia valley classical academy,unknown level
552001,walatowa charter high,walatowa charter high,hs
554001,new mexico connections academy,new mexico connections academy,unknown level
555001,taos international school,taos international school,unknown level
557001,explore academy,shining stars preschool,unknown level
560001,la academia dolores huerta,la academia dolores huerta,unknown level
562001,deap,deap,unknown level
563001,sandoval academy of bilingual education,sandoval academy of bilingual education,unknown level
564001,monte del sol charter,monte del sol charter,unknown level
565001,tierra encantada charter school,tierra encantada charter school,unknown level
566001,turquoise trail charter school,turquoise trail charter school,unknown level
567001,las montanas charter,las montanas charter,unknown level
568001,six directions indigenous school,six directions indigenous school,unknown level
570001,roots & wings community,roots and wings community,unknown level
573001,hozho academy,hozho academy,unknown level
574001,albuquerque collegiate charter school,albuquerque collegiate charter school,unknown level
575001,altura preparatory school,altura preparatory school,unknown level
576001,solare collegiate charter school,solare collegiate charter school,unknown level
577001,raices del saber xinachtli community,raices del saber xinachtli community school,unknown level
578001,middle college high school charter - gallup,middle college high school charter - gallup,hs
579001,aces technical high school,aces technical charter school,hs
580001,21st century public academy,21st century public academy,unknown level
581001,explore academy las cruces,explore academy las cruces,unknown level
582001,thrive community school,thrive community school,unknown level
583001,rio grande academy of fine arts,rio grande academy of fine arts,unknown level
584001,pecos cyber academy,pecos cyber academy,unknown level
585001,vista grande high school,vista grande high school,hs
586001,nan,explore academy - rio rancho,unknown level
999999,statewide,new mexico,state
